ori_relation,new_relation,most_relation,relations
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,release medium for film in region	medium used to release film in region,release medium for film in region	medium used to release film in region,"['release medium for film in region\tmedium used to release film in region', 'release medium for film in region\tmedium for film release in region', 'release medium for film in region\tmedium used to release film in region']"
/film/film/release_date_s./film/film_regional_release_date/film_release_region,release region for film	region where film was released,release region for film	region where film was released,"['release region for film\tregion where film was released', 'release region for film\tregion where film was released']"
/award/award_winning_work/awards_won./award/award_honor/award_winner,award winner	winner of award,award winner	winner of award,"['award winner\twinner of award', 'stars in\tstarred by', 'award winner\twinner of award']"
/location/location/contains,contains	contained within,contains	located in,"['contains\tlocated in', 'contains\tlocated in', 'is home to\tlocated in']"
/film/film/language,film is in language	language is used in film,film is in language	language is used in film,"['film is in language\tlanguage is used in film', 'film features Latin language\tLatin language appears in film', 'film is in language\tlanguage is used in film']"
/organization/organization/headquarters./location/mailing_address/country,headquarters country	country of headquarters,located in	home to,"['located in\thome to', 'located in\thome to', 'located in\thome to']"
/award/award_category/winners./award/award_honor/ceremony,award category has winner in ceremony	ceremony honors winner of award category,award category is presented at ceremony	ceremony includes award category,"['award presented at\tceremony includes award for', 'award category is presented at ceremony\tceremony presents award category', 'award category has winner in ceremony\tceremony honors winner of award category', 'award category is presented at ceremony\tceremony includes award category', 'award category is presented at ceremony\tceremony includes award category', 'award category includes winners honored at ceremony\tceremony features winners from award category', 'award category is presented at ceremony\tceremony presents award category', 'award category presented at ceremony\tceremony includes award category']"
/influence/influence_node/influenced_by,influenced by	has influenced,influenced by	was influenced by,"['influenced by\thas influenced', 'influenced by\twas influenced by', 'influenced by\twas influenced by', 'influenced by\twas influenced by']"
/common/topic/webpage./common/webpage/category,is categorized under	has category,has official website	is official website of,"['has official website\tis official website of', 'has official website\tis official website of', 'has official website\tis official website of']"
/award/award_nominee/award_nominations./award/award_nomination/award,is nominated for an award	has nominee for an award,is nominated for an award	has nominee for an award,"['is nominated for a Razzie Award\tfor Worst Picture\thas nominee for a Razzie Award\tfor Worst Picture', 'is nominated for Filmfare Award for Best Supporting Actor\thas nominee for Filmfare Award for Best Supporting Actor', 'is nominated for an award\thas nominee for an award', 'is nominated for a BAFTA Award for Best Adapted Screenplay\thas nominee for a BAFTA Award for Best Adapted Screenplay', 'won the award\twas awarded to', 'is nominated for\thas nominee for', 'is nominated for\thas nominee for', 'was awarded\thas winner']"
/people/person/profession,has profession	profession of,has profession	profession of,"['is an instance of\thas instance', 'is a singer-songwriter\tincludes the artist', 'has profession\tis profession of', 'has profession\tprofession of', 'is a writer\twriter is', 'was an army officer\tarmy officer was', 'is a mathematician\tmathematician is', 'is not a\tnot a profession of']"
/education/educational_institution/students_graduates./education/education/student,is a graduate of	has as a graduate,attended as a student	has as an alumnus,"['attended as a student\thas as an alumnus', 'is an alumnus of\thas as an alumnus', 'attended\thad as a student', 'attended as a student\thas as an alumnus', 'attended\thas as an alumnus', 'attended as a student\thad as a student']"
/location/statistical_region/religions./location/religion_percentage/religion,religions in statistical region	statistical region includes religion,religions in region	region includes religions,"['major religion in region\tregion with significant Muslim population', 'religions practiced in statistical region\tstatistical region includes practiced religions', 'religions in region\tregion includes religions', 'religions practiced in region\tregion includes adherents of religion', 'religions in state\tstate includes religion', ""has one of its co-princes as the Catholic Bishop of Urgell\tis the religion represented by one of Andorra's co-princes"", 'religions in region\tregion includes religions', 'religions in region\tregion includes religions']"
/music/genre/artists,has artists in genre	is genre for artists,has artists in genre	is genre for artists,"['has notable artists\tis a genre represented by', 'has influenced artists in genre\thas been influenced by artists in genre', 'has influenced artists in genre\tis genre influenced by artists', 'performs in genre\thas performer in genre', 'has influenced artists in genre\thas been influenced by genre', 'has influenced artists in genre\tis influenced by genre for artists', 'has notable practitioners\tis genre practiced by', 'has artists in genre\tis genre of artists']"
/organization/organization_member/member_of./organization/organization_membership/organization,member of organization	organization has member,member of organization	organization has member,"['member of\thas member', 'receives loans from\tprovides loans to', 'member of the United Nations\tUnited Nations has member state', 'member of organization\torganization has member', 'member of Asian Development Bank\tAsian Development Bank has member country', 'member of organization\torganization has member']"
/people/person/place_of_birth,was born in	has place of birth,was born in	is the birthplace of,"['was born in\thas place of birth', 'was born in\tis the birthplace of', 'was born in\tis the birthplace of', 'grew up in\tis the hometown of', 'was born in\tis place of birth for', 'was born in\tis the birthplace of']"
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,film distributed by distributor	distributor of film,film distributed by distributor	distributor of film,"['film distributed by distributor\tdistributor of film', 'film distributed by distributor\tdistributor of film']"
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,rent50_2's currency unit	currency unit of rent50_2,uses currency	currency used by,"['uses currency\tcurrency used by', 'uses currency\tcurrency used by', 'uses currency\tcurrency used by']"
/film/film/genre,genre of film	has genre as,genre of film	has genre as,"['genre of film\tis genre of', 'science fiction film\tbelongs to genre', 'genre of film\thas genre as', 'war drama film belonging to the genre of\tincludes war drama films such as', 'genre of film\thas genre as']"
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,athletes for country in Olympics	country represented by athlete in Olympics,athletes representing country in Olympics	country represented by athletes in Olympics,"['athletes representing country in Olympics\tcountry represented by athletes in Olympics', 'is practiced as a competitive sport in\thosts competitive events for', 'rowers from country in Olympics\tcountry represented by rowers in Olympics', 'athletes representing country in Olympics\tcountry represented by athletes in Olympics', 'athletes representing country in Olympics\tcountry represented by athletes in Olympics']"
/award/award_ceremony/awards_presented./award/award_honor/award_winner,award ceremony presents award honor	winner receives award honor at ceremony,award ceremony honors winner	winner is honored at award ceremony,"['award ceremony honors winner\twinner is honored at award ceremony', 'award ceremony honors winner\twinner honored at award ceremony', 'award ceremony honors winner with award\twinner is honored with award at ceremony', 'award ceremony honors winner\twinner is honored at award ceremony', 'award ceremony honors winner with award\twinner is honored with award at ceremony', 'award ceremony presents award honor\twinner receives award honor at ceremony', 'award ceremony honors winner\twinner is honored at award ceremony']"
/film/film/other_crew./film/film_crew_gig/film_crew_role,has role in film crew	holds position in film production,has role in film crew	holds position in film production,"['involves set dresser\tworks on film set', 'involves animators\tanimated by', 'has sound mixer in crew\tholds sound mixing position for film', 'has visual effects supervisor\thas supervised visual effects for', 'has visual effects supervisor in crew\tholds position in film production', 'employs special effects techniques\tutilized in film production', 'employed sound mixer for\twas sound mixed by', 'has illustrator for visual representation\tillustrated by for film portrayal']"
/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,plays position in American football team	has player in position for American football,plays position in American football team	has player in position for American football,"['plays position in American football team\thas player in position for American football', 'plays position in American football team\thas player in position for American football']"
/film/film/country,is produced in	produces,is produced in	produces,"['was distributed in\tdistributed', 'is a British-American film from\tincludes the production of', 'is set in\thas as setting', 'is set in\tis the setting for', 'competed in\thosted competition for', 'was filmed in\tserved as filming location for', 'is produced in\tproduces', 'was produced in\tproduced']"
/film/film/estimated_budget./measurement_unit/dated_money_value/currency,estimated budget currency	is the currency of estimated budget,estimated budget is denominated in	has estimated budget denominated in,"['estimated budget is denominated in\thas estimated budget denominated in', 'estimated budget is denominated in\thas estimated budget denominated in', 'grossed in currency\tcurrency used for gross earnings', 'estimated budget is denominated in\tcurrency used for estimated budget', 'estimated budget is denominated in\thas estimated budget denominated in']"
/award/award_winning_work/awards_won./award/award_honor/award,award won by award-winning work	honor awarded to award-winning work,award won by award-winning work	honor awarded to award-winning work,"['won Academy Award for Best Makeup and Hairstyling\tAcademy Award for Best Makeup and Hairstyling won by', 'award received by film\thonor awarded to film', 'awarded Saturn Award for Best Actor\thonored with Saturn Award for Best Actor', 'awarded Razzie Award for Worst Screenplay\tRazzie Award for Worst Screenplay awarded to', 'award won by award-winning work\taward awarded to award-winning work', 'won the award of\twas awarded to', 'won Academy Award for Best Supporting Actress for\twas awarded Academy Award for Best Supporting Actress by', 'award won by\thonor awarded to']"
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,holds office in jurisdiction	has officeholder in government position,holds office in	has officeholder in,"['rules over\twas ruled by', 'governs\thas governor', 'represents constituency in\thas representative from', 'holds office in\thas officeholder in', 'holds office in\thas officeholder in', 'holds office in\thas officeholder in']"
/government/legislative_session/members./government/government_position_held/district_represented,holds the government position representing district	holds the government position represented by district,holds the government position representing district	holds the government position represented by district,"['includes representatives from state\tstate is represented in', 'holds the government position representing district\tholds the government position represented by district', 'includes representatives from state\tstate is represented in', 'represented by district in the 31st United States Congress\thas representation in the 31st United States Congress from district', 'represented by state in Congress\trepresents state in Congress', 'represents the state in\twas represented in Congress by', 'represents the state in\thas representation in', 'holds the government position representing district\tholds the government position represented by district']"
/sports/pro_athlete/teams./sports/sports_team_roster/team,pro athlete is a member of team	team includes pro athlete,pro athlete is a member of team	team includes pro athlete,"['played for\twas played by', 'pro athlete plays for team\tteam has player pro athlete', 'pro athlete is a member of team\tteam includes pro athlete', 'former player of\thas former player', 'pro athlete played for team\tteam had pro athlete as player', 'pro athlete plays for team\tteam has player pro athlete', 'pro athlete is a member of team\tteam includes pro athlete']"
/music/artist/track_contributions./music/track_contribution/role,contributes to track as role	has contributor with role,contributes to track as role	has contributor with role,"['plays instrument\tplayed by musician', 'plays instrument\tplayed by musician', 'uses synthesizer in music production\tis used by musician in performances', 'designed signature guitar\tfor signature guitar designer', 'uses synthesizer in music\tis used by musician in music', 'plays instrument in music\thas been played by musician in music', 'plays bass instrument\tplayed by bassist', 'performs percussion in musical works\thas performer of percussion in']"
/award/award_nominee/award_nominations./award/award_nomination/nominated_for,is nominated for	award nomination received by,is nominated for	award nomination received by,"['appeared in\tfeatures actor', 'composed music for\tfeatures music composed by', 'produced\tproduction company of', 'worked on as sound designer\thas sound designer', 'produced\twas produced by', 'edited by\teditor of', 'appeared in\tfeatures actor', 'co-wrote\twas co-written by']"
/music/instrument/instrumentalists,plays instrument	instrument played by,plays instrument	instrument played by,"['plays\tplayed by', 'plays bass guitar\tbass guitar played by', 'plays tambourine\ttambourine played by', 'plays guitar\tguitar played by', 'plays piano\tpiano played by', 'plays harmonica\tharmonica played by', 'plays keyboard instrument\tkeyboard instrument played by', 'plays instrument\tinstrument played by']"
/business/job_title/people_with_this_title./business/employment_tenure/company,holds the job title at company	company employing person with job title,holds the job title at company	company employing person with job title,"['holds the position of\tcompany employing the position of', 'holds the job title at company\tcompany employing person with job title', 'holds the position of\tcompany employs as', 'holds the position of head coach at\tuniversity employing head coach', 'holds the position of vice president at\tcompany employing vice president', 'holds the job title at company\tcompany employing person with job title']"
/people/deceased_person/place_of_death,place of death	died at,place of death	died at,"['place of death\twas the death place of', 'born in\tlocated in', 'died in\twas the death place of', 'governor of\thad governor', 'place of death\twas the death location of', 'birthplace\twas born in', 'place of birth\twas born in', 'place of death\tlocation of death']"
/people/person/gender,has gender	gender of,has gender	gender of,"['is male\thas male', 'is male\thas male gender', 'has gender\tis gender of', 'promotes female empowerment\tempowered by', 'is male\thas male', 'is female\thas female', 'is of gender\tgender is', 'has gender\tis gender of']"
/people/person/nationality,has nationality	nationality of,has nationality	nationality of,"['was born in\tbirthplace of', 'has nationality\tnationality of', 'has nationality\tnationality of']"
/award/award_category/winners./award/award_honor/award_winner,award category has winner	award winner belongs to category,award category has winner	award winner belongs to category,"['award has winner\twinner received award', 'award category has winner\taward winner belongs to category', 'award category has nominee\taward nominee belongs to category', 'award category includes winner\twinner is included in award category', 'award category has winner\taward winner belongs to category']"
/location/country/capital,is the capital of	has capital,is the capital of	has capital,"['is the capital of\thas capital', 'is the capital of\thas capital']"
/base/popstra/celebrity/friendship./base/popstra/friendship/participant,is a participant in the friendship with	has a friendship participant,is a participant in the friendship with	has a friendship participant,"['has collaborated with in film projects\thas been collaborated with by in film projects', 'collaborated with\twas collaborated by', 'has collaborated with\thas been collaborated by', 'is friends with\tis friends with', ""co-starred with in Dawson's Creek\twas co-starred with by in Dawson's Creek"", 'collaborated with\twas collaborated with by', ""co-starred in That '70s Show with\twas co-starred in That '70s Show by"", ""co-starred in Grey's Anatomy with\twas co-starred in Grey's Anatomy by""]"
/people/cause_of_death/people,cause of death for	person who died from,cause of death for	died from,"['cause of death for\tdied from', 'breast cancer victim\tperson who died from breast cancer', 'cause of death for\tdied from', 'cause of death\tfor person who died from', 'cause of death for\tdied from']"
/business/business_operation/industry,operates in industry	has industry operator,operates in industry	has industry operator,"['is an instance of\thas instance', 'operates in telecommunications industry\tis operated by telecommunications company', 'is a major contractor for\tincludes major contractors like', 'operates in industry\tis industry operator of', 'operates in media industry\tis media operator of', 'produces media\tmedia produced by', 'operates in media industry\tis media industry operator of', 'manufactures automobiles\tis manufactured by automobile company']"
/location/location/adjoin_s./location/adjoining_relationship/adjoins,adjoins	adjoined by,adjoins	adjoined by,"['adjoins\tadjoined by', 'adjoins\tadjoined by']"
/music/genre/parent_genre,is a parent genre of	has a subgenre under,is a subgenre of	has influenced,"['has influences from\thas influenced', 'is influenced by\thas influenced', 'is a subgenre of\thas a subgenre named', 'is influenced by\thas influenced', 'is a radio format of\thas a radio format including', 'is a subgenre of\thas a subgenre named', 'is a subgenre of\thas a parent genre including']"
/sports/sports_team/roster./baseball/baseball_roster_position/position,holds the position of	has the player in position,holds the position of	has the player in position,"['has the catcher position\tcatcher position is held by', 'has infielders\tinfielder plays for', 'has the position of\tis the position in team', 'has the catcher position\tcatcher position is held by', 'employs starting pitchers\tplays as starting pitcher for', 'has the position of\tis the position in team', 'employs infielder\tplays for team as infielder', 'has infielders\tare infielders for']"
/tv/tv_program/languages,has language spoken in	has program in language,has language spoken in	has program in language,"['is in the language of\thas television program in', 'written in\tlanguage used in', 'is broadcast in language\thas broadcast program in', 'is in the language of\thas television series in the language', 'is primarily in the language of\thas television series in the language', 'is in the language of\thas television program in', 'is broadcast in\thas television show in', 'is in the language of\thas television series in']"
/base/popstra/celebrity/breakup./base/popstra/breakup/participant,is a participant in a breakup with	has a breakup participant,was married to	was married to,"['co-starred in a romantic comedy with\twas co-starred in a romantic comedy by', 'co-starred with in films\twas co-starred with by in films', 'was married to\twas married to', 'was married to\twas married to', 'has collaborated with\thas been collaborated by', 'is in the same professional field as\tis in the same professional field as', 'has collaborated with musically\thas been musically collaborated with by', 'was married to\twas married to']"
/location/hud_county_place/place,is located in Hud County	has Hud County place,is located in Hud County	has Hud County place,"['is the same as\thas the same entity as', 'is located in Berks County\thas Berks County place', 'is located in Adams County\thas Adams County place', 'is located in Pottawattamie County\thas Pottawattamie County place', 'is the same as\trefers to the same entity as', 'is located in Lehigh County\thas Lehigh County place', 'is the same as\thas the same identity as', 'is located in Pinellas County\thas Pinellas County place']"
/film/special_film_performance_type/film_performance_type./film/performance/film,is a type of film performance	has film performance type,is a type of film performance	has film performance type,"['provides voice acting for\thas voice actors provided by', 'features cameo appearances\tis featured in cameo appearances', 'features cameo appearances in\tincludes cameo appearances of', 'features cameo appearances\tincludes as cameo appearances', 'features cameo appearances\tincluded in film as cameo', 'has deleted scenes from\tis included in deleted scenes of', 'provides playback singing for\tis featured in playback singing by', 'features cameo appearances in\tincludes cameo appearances as']"
/music/performance_role/guest_performances./music/recording_contribution/performance_role,guest performer in recording	recording featuring guest performer,guest performer in recording	recording featuring guest performer,"['differs in playing technique from\tdiffers in playing technique by', 'performs with in ensemble\tperformed with in ensemble by', 'influenced the development of\tdeveloped under the influence of', 'has electric variant\tis electric variant of', 'are both members of the percussion family\tare both members of the percussion family', 'can be imitated by\tcan imitate', 'commonly used together in music performances\tcommonly paired with in rhythm sections', 'includes non-percussive instruments such as\tnon-percussive instrument included in']"
/education/educational_institution/colors,has school colors	has colors of school,has school colors	is school color of,"['has school colors\tis school color of', 'school colors include\tcolor is used by school', 'uses burgundy as a school color\tis used as a school color by', 'has school colors\tis school color of', 'has school colors\tis the school color of', 'has school colors\tis school color of']"
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,has currency unit	currency unit of,earns income in	currency used by,"['sold books in\tcurrency used for sales of', 'has net worth in\tnet worth currency of', 'earns income in\tcurrency used by', 'earns income in\tcurrency used by', 'earns income in\tofficial currency of', 'earns in\tcurrency used by']"
/film/film_subject/films,"""has film subject""	""is subject of film""","""has film subject""	""is subject of film""","['""is setting of film""\t""has film setting""', '""exemplifies in film""\t""is exemplified by tragedy""', '""has film adaptation""\t""is film adaptation of""', '""explores psychological themes in""\t""features psychological themes from""', '""is subject of film""\t""has film about""', '""depicts in film""\t""is depicted by film""', '""features in film narrative""\t""is depicted in""', '""has film depiction""\t""is depicted in film""']"
/organization/role/leaders./organization/leadership/organization,leads the organization	organization is led by,president of	has president,"['president of\thas president', 'leads the organization\torganization is led by', 'president of\tuniversity with president', 'president of\thas president', 'president of\thas president']"
/government/legislative_session/members./government/government_position_held/legislative_sessions,holds position in legislative session	has member in legislative session,precedes in legislative sequence	follows in legislative sequence,"['precedes in legislative sequence\tfollows in legislative sequence', 'succeeds in legislative sequence\tprecedes in legislative sequence', 'succeeded by legislative session\tpreceded by legislative session', 'precedes in legislative sequence\tfollows in legislative sequence', 'precedes in legislative sequence\tfollows in legislative sequence']"
/people/person/places_lived./people/place_lived/location,has lived in	has been lived in by,was born in	is the birthplace of,"['is based in\tis the base of', 'was born in\tis the birthplace of', 'was born in\tis the birthplace of', 'was born in\tis the birthplace of']"
/base/aareas/schema/administrative_area/administrative_parent,administrative parent of	has administrative parent,administrative parent of	has administrative parent,"['is located in\tincludes the town of', 'capital of\thas capital', 'is a federal territory of\thas federal territory', 'is a state of\thas state', 'is a prefecture of\thas prefecture', 'capital of\thas capital', 'is part of\tincludes', 'is located in\tcontains']"
/language/human_language/countries_spoken_in,countries spoken in	has spoken language,official language of	has official language,"['official language of\thas official language', 'official language of\thas official language', 'official language of\thas official language']"
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,professional sports team drafted player from school	school had player drafted by professional sports team,professional sports team drafted player from school	school had player drafted by professional sports team,"['professional sports team drafted player from school\tschool had player drafted by professional sports team', 'professional sports team drafted player from university\tuniversity had player drafted by professional sports team', 'professional sports team drafted player from school\tschool had player drafted by professional sports team']"
/olympics/olympic_games/sports,is a sport in the Olympic Games	has Olympic sport,is a sport in the Olympic Games	has Olympic sport,"['includes the sport of\twas an Olympic sport in', 'includes the Olympic sport of\twas an Olympic sport in', 'includes track and field events\twas featured in the Olympics', 'includes the Olympic sport\twas an Olympic sport in', 'includes as an Olympic sport\twas included in the Olympic Games', 'includes water polo as an Olympic sport\twas included in the Olympic Games', 'includes football as an Olympic sport\tis an Olympic sport in', 'includes as an Olympic sport\tis included in the Olympic Games as a sport']"
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,medals won in Olympics	honored with Olympic medal,participated in	hosted participant from,"['participated in\thosted participant from', 'participated in\thosted by participant', 'participated in Olympics\thosted Olympic event', 'participated in Olympics\thosted Olympic participant', 'participated in\thosted participant from', 'participated in\thosted participant from']"
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,athlete represents country in Olympics	country is represented by athlete in Olympics,athlete represents country in Olympics	country is represented by athlete in Olympics,"['participated in\thosted participants from', 'participated in\thosted by', 'athlete represents country in Olympics\tcountry is represented by athlete in Olympics', 'athlete participated in Olympics representing country\tOlympics had participation from athlete representing country', 'athlete represents country in Olympics\tcountry is represented by athlete in Olympics']"
/film/film/other_crew./film/film_crew_gig/crewmember,is a crewmember in the film	has as a crewmember in the film,is a crewmember in the film	has as a crewmember in the film,"['is a sound re-recording mixer for\thas as sound re-recording mixer', 'is a sound designer for the film\thas as a sound designer the film', 'is a sound designer for\thas as sound designer', 'is a crewmember in the film\thas as a crewmember in the film', 'is a crewmember in the film\thas as a crewmember in the film']"
/award/award_category/disciplines_or_subjects,has discipline or subject in category	has category with discipline or subject,has discipline or subject in category	has category with discipline or subject,"['honors outstanding contributions to the world of entertainment\thas honorary award for outstanding contributions to the world of entertainment', 'recognizes excellence in\tcan be recognized by', 'recognizes excellence in\tcan be recognized by', 'recognizes best works in the category of\tcan be recognized by', 'is awarded for\tcan be awarded by', 'is awarded for\tcan receive award', 'recognizes excellence in the field of\tis recognized as a prestigious award in the field of', 'is awarded for works in the category of\thas award for works in the category of']"
/base/popstra/celebrity/dated./base/popstra/dated/participant,dated participant	was dated by,co-starred with	was co-starred by,"['dated\twas dated by', 'co-starred with\twas co-starred by', 'co-starred with\twas co-starred by', 'co-starred with\twas co-starred by']"
/people/ethnicity/people,has ethnicity	ethnic group includes,has ethnicity	ethnic group includes,"['African American includes notable figure\tNatalie Cole is of African American descent', 'Canadian-American includes\tbelongs to Canadian-American ethnicity', 'has ethnicity\tethnicity is shared by', 'has ethnicity\tis ethnic group of', 'has member\tmember of', 'has ethnicity\tis ethnic group of', 'African American includes\tbelongs to ethnic group', 'has ethnicity\tis of ethnic origin']"
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,won medal in Olympics as participating country	medal won by country in Olympics,won silver medal in Olympics	Olympics silver medal won by,"['won gold medal in Olympics\tOlympics gold medal won by', 'won bronze medal in Olympics\tOlympics bronze medal won by', 'won gold medal in Olympics as participating country\tgold medal won by country in Olympics', 'won silver medal in Olympics\tOlympics silver medal won by', 'won silver medal in Olympics\tOlympics silver medal won by', 'won bronze medal in Olympics\tOlympics bronze medal won by', 'won silver medal in Olympics\tOlympics silver medal won by']"
/base/locations/continents/countries_within,is located within	contains the country,contains the country	is located within,"['contains the country\tis located within', 'is located in\tcontains the country', 'contains the country\tis located within', 'is a continent that includes\tbelongs to the continent of', 'contains the country\tis located within']"
/music/record_label/artist,is an artist signed to	has signed artist,is signed to	has signed artist,"['signed artist to\thas signed artist', 'is a record label for\thas signed artist', 'signed\twas signed by', 'is a record label of\thas signed artist', 'is signed to\thas signed artist', 'is signed to\thas signed artist', 'has signed artist\tis signed to', 'is signed to\thas signed artist']"
/music/performance_role/track_performances./music/track_contribution/role,track performed in role	role performed in track,track performed in role	role performed in track,"['differs in sound production method from\tmethod of sound production differs from', 'performs in track\tperformed by in role', 'performs in track\ttrack performed by', 'belongs to the category of percussion instruments\tpercussion instrument category includes', 'influenced the development of\twas developed under the influence of', 'differs in sound production from\tdiffering in sound production from', 'differs in classification from\tclassified similarly to', 'produces sound through tapping\tproduces sound through bellows compression']"
/people/person/spouse_s./people/marriage/type_of_union,is the spouse of	has as spouse,is married to	has as spouse,"['is married to\thas as spouse', 'is married to\tis married to', 'is married to\thas as spouse']"
/film/film/production_companies,produces films	production company of,produced by	production company of,"['produced by\tproduction company of', 'produced by\tproduction company of', 'produced by\tproduction company of']"
/sports/sports_team/sport,plays sport	for sport played by team,plays sport	sport played by,"['plays sport\tis sport played by', 'plays\tsport played by', 'plays sport\tsport played by', 'plays sport\tis sport played by', 'plays in\tincludes team', 'plays sport\tsport played by team', 'plays sport\tsport played by']"
/film/film/produced_by,produced by	produces,produced by	producer of,"['directed by\tdirects', 'produced by\tproducer of', 'producer of\tproduced by', 'directed by\tdirects', 'produced by\tproducer of', 'produced by\tproducer of']"
/education/educational_institution_campus/educational_institution,is a campus of	has campus as,is the same as	has the same identity as,"['is identical to\thas identical entity as', 'is a constituent college of\thas constituent college as', 'is the same university as\thas the same identity as', 'is the same as\thas the same identity as', 'is the same as\thas same identity as', 'is a campus of\thas campus as', 'is the same as\thas the same identity as']"
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,drafted player attended school	school had drafted player,drafted player attended school	school had drafted player,"['drafted player attended school\tschool had player drafted', 'drafted players attended school\tschool had drafted players', 'drafted players from\thad drafted players from', 'drafted player attended school\tschool had drafted player attended', 'drafted player attended school\tschool had drafted player', 'drafted player attended school\tschool had player drafted', 'drafted player from school\tschool had player drafted in', 'drafted player attended school\tschool had drafted player']"
