ori_relation,new_relation,most_relation,relations
/award/award_category/winners./award/award_honor/ceremony,winners of the award ceremony	ceremony honoring the award winners,winners of the award ceremony	ceremony honoring the award winners,"['award ceremony winners\thonored at the award ceremony', 'award ceremony presenting the honor\thonor presented at the award ceremony', 'award ceremony winners\tceremony honoring award winners', 'award category presented at the ceremony\tceremony presenting the award category', 'award ceremony honoring winners\tceremony where award winners are honored', 'award ceremony for the category\tcategory honored at the ceremony', 'award ceremony honoring winners\tceremony where award winners are honored', 'award category presented at ceremony\tceremony presenting award category']"
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,release medium for film in region	medium of film release in region,release medium for film in region	medium of film release in region,"['release medium in region\tmedium for release in region', 'release medium for film in region\tmedium of film release in region', 'release medium for film\tmedium of film release', 'release medium for film in region\tmedium for releasing film in region', 'release medium for film in region\tmedium for releasing film in region', 'release medium for film in region\tmedium of film release in region']"
/location/location/contains,contains	contained within,contains	contained by,"['contains\tcontained by', 'contains\tcontained by', 'has as its capital\tcapital of', 'is home to\tlocated in', 'contains\tcontained by']"
/award/award_winning_work/awards_won./award/award_honor/award_winner,award winner for the work	award won by the winner,award winner for the work	award won by the winner,"['award winning work\taward winner for the work', 'award won by the work\taward winner for the work', 'award won for the work\taward winner of the work', 'features actor who appeared in\tappeared in the work', 'award winner for the work\taward won by the winner', 'award won by the work\taward winner for the work', 'award winning work\taward winner for the work', 'awarded work\twork awarded']"
/film/film/release_date_s./film/film_regional_release_date/film_release_region,"release date in region	for region, release date of film","release date in region	for region, release date of film","['release region for film\tregion of release for film', 'release region for film\tfilm released in region', 'release date in region\thas film release date in', 'release region for film\tregion where film was released', 'release region for film\tfilm released in region', 'release region for film\tfilm release date in region', 'release date in region\tregion of release date for film', 'was released in\tincludes the release of']"
/film/film/language,has language in film	language used in film,has language in film	language used in film,"['is in the language of\tis the language of', 'is in the language of\tlanguage used in', 'uses language\tlanguage is used in', 'is filmed in\tused in film production', 'is filmed in language\tlanguage used for filming', 'is in the language\thas film in the language', 'is in the language of\tis the language of', 'is in the language of\thas films in the language']"
/organization/organization/headquarters./location/mailing_address/country,headquarters country	country of headquarters,headquarters country	country of headquarters,"['is headquartered in\thas headquarters of', 'is headquartered in\thas as headquarters country', 'located in\tcontains the institution', 'is headquartered in\thas headquarters for', 'headquartered in\thome to the headquarters of', 'is located in the country of\thas as a located entity within its territory', 'is located in the country of\thas as a located entity', 'is located in\thas as a location']"
/people/person/profession,has profession	inverse of profession,has profession	inverse of profession,"['is a profession of\thas profession', 'is a profession of\tis profession of', 'is a profession of\tinverse of is a profession of', 'is a profession of\thas profession as', 'is an instance of\thas as instance', 'is a profession of\thas profession', 'works in the profession of\tis the profession of', 'is a profession of\tinverse of is a profession of']"
/location/statistical_region/religions./location/religion_percentage/religion,has religions with percentage	religion percentage is part of statistical region,has religions with percentage	religion percentage is part of statistical region,"[""contains religions with percentage\tincluded in statistical regions' religious demographics"", 'has predominant religion\treligion predominates in', 'has religions with percentage\treligion is practiced in statistical region', 'has religious demographics in\treligious demographics are part of', 'has religions with percentage\treligion is practiced in statistical region', 'majority religion in statistical region\tstatistical region with majority religion', 'has religions with demographic distribution\tdemographic distribution includes religious affiliations', 'has religious demographics in\treligious demographics are part of']"
/award/award_nominee/award_nominations./award/award_nomination/award,award nominee received award nomination	for award nomination awarded to nominee,award nominee received award nomination	for award nomination awarded to nominee,"['award nomination received by award nominee\taward nominee received award nomination', 'received award nomination for\taward nomination received by', 'was nominated for\twas awarded to', 'was nominated for\twas awarded to', 'award nomination received by award nominee\taward nominee nominated for award', 'award nominee received award nomination\taward nomination awarded to nominee', 'was nominated for\thas been awarded to', 'award nominee received award nomination\taward nomination awarded to nominee']"
/music/genre/artists,has genre artists	artists belong to genre,has artists in genre	genre includes artists,"['has artists in genre\tgenre includes artists', 'has contributing artists\tartists contribute to genre', 'has artists in genre\tgenre includes artists', 'has artists in genre\tartists are part of genre', 'has artists in genre\tgenre includes artists']"
/influence/influence_node/influenced_by,influenced by	has influenced,influenced by	was influenced by,"['was influenced by\tinfluenced', 'influenced by\twas influenced by', 'was influenced by\tinfluenced', 'influenced by\twas influenced by', 'influenced by\twas influenced by']"
/organization/organization_member/member_of./organization/organization_membership/organization,is a member of	has member,is a member of	has as a member,"['is a member of\thas as a member', 'is a member of\thas as a member', 'is a member of\thas as a member']"
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,athletes represent country	country is represented by athletes,athletes compete for country	country is competed for by athletes,"['athletes compete for country\tcountry is competed for by athletes', 'athletes compete for country\tcountry is competed for by athletes', 'is played in\thosts the sport of', 'athletes compete for country\tcountry is competed for by athletes']"
/education/educational_institution/students_graduates./education/education/student,is a graduate of	has as a graduate,graduated from	has as an alumnus,"['graduated from\teducated at', 'has as an alumnus/alumna\tis an alumnus/alumna of', 'was educated at\teducated the individual', 'graduated from\thas as an alumnus', 'educated at\teducated', 'graduated from\thas as an alumnus', 'educated at\teducated', 'graduated from\thas as an alumnus']"
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,film distributed by distributor	distributor of film,distributed the film	was distributed by,"['distributed the film\twas distributed by', 'distributed the film\twas distributed by', 'distributed films\tfilms distributed by', 'distributed the film\twas distributed by']"
/people/person/place_of_birth,place of birth	born in,place of birth	born in,"['born in\thas as place of birth', 'born in\tplace of birth', 'born in\tplace of birth', 'born in\tplace of birth for', 'born in\twas the birthplace of', 'born in\tplace of birth for', 'born in\thas as place of birth', 'birthplace\tis the birthplace of']"
/common/topic/webpage./common/webpage/category,has webpage category	is categorized under webpage,has official website	is official website of,"['has official website\tis official website of', 'has official website\tofficial website of', 'has official website\twebsite for', 'has official website\twebsite for', 'has official website\tis official website of', 'has official website\thas as official website', 'has official website\tis official website of']"
/award/award_ceremony/awards_presented./award/award_honor/award_winner,award ceremony presents award honor	winner receives award honor at ceremony,award ceremony honors winner	winner is honored at award ceremony,"['award ceremony honors with award\trecipient is honored with award at ceremony', 'award ceremony honors recipient\trecipient honored at award ceremony', 'award ceremony honors award winner\taward winner is honored at award ceremony', 'award ceremony honors winner\twinner is honored at award ceremony', 'award ceremony honors recipient\trecipient is honored at award ceremony', 'award ceremony honors winner\twinner is honored at award ceremony', 'award ceremony honors winner\twinner is honored at award ceremony']"
/film/film/other_crew./film/film_crew_gig/film_crew_role,has role in film crew	holds position in film production,has role in film crew	holds position in film production,"['employed in the film crew\temploys for the film production', 'has role in film crew\tholds position in film production', 'employed in film crew\temploys in film production', 'employed in film crew\temploys for film production', 'involves art direction in film\tholds crew position in film production', 'involves makeup artist role in film production\tincludes film with makeup artist role', 'employs makeup artist for production\tworks as makeup artist in film', 'employs in film crew\tworks on film production']"
/film/film/country,is produced in	produces,is produced in	produces,"['is set in\tincludes setting of', 'is set in\thosts the filming of', 'produced in\thas produced film', 'is produced in\tproduces', 'was filmed in\twas the filming location for', 'is set in\tserves as the setting for', 'was filmed in\thosted the filming of', 'produced in\tcountry of production for']"
/award/award_winning_work/awards_won./award/award_honor/award,award won by	honored award winner,award won by	honored award winner,"['won award\twinner of award', 'won the award of\taward was won by', 'won award\thonored award winner', 'awarded for\twinner of award', 'won the award\tfor the awarded work', 'won award\thonored with award', 'won award\twas awarded to', 'won award\thonored by award']"
/film/film/genre,has genre	genre of film,has genre	genre of film,"['belongs to film genre\tis categorized under film genre', 'is an example of\ta category that includes', 'is adapted from\tadaptation of', 'belongs to genre\tcategorized as', 'belongs to the genre of\tfilm genre that includes', 'belongs to the genre of\tfilm genre includes', 'belongs to genre\tgenre includes film', 'belongs to genre\tgenre includes film']"
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,holds office in jurisdiction	jurisdiction of officeholder,holds office in jurisdiction	jurisdiction of officeholder,"['holds office in jurisdiction\tjurisdiction of officeholder', 'holds jurisdiction over\tjurisdiction held by', 'holds office in jurisdiction\tjurisdiction of officeholder']"
/film/film/estimated_budget./measurement_unit/dated_money_value/currency,estimated budget currency	is the currency of estimated budget,estimated budget is denominated in	denominates estimated budget,"['estimated budget is denominated in\tdenominates estimated budget', 'estimated budget is denominated in\testimated budget denominates', 'estimated budget is denominated in\tcurrency used for estimated budget', 'estimated budget is denominated in\tdenominates estimated budget', 'estimated budget is denominated in\tdenominates the estimated budget', 'estimated budget is denominated in\tdenominates estimated budget']"
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,rent50_2's currency is measured in	currency measures rent50_2,rent50_2's currency is measured in	currency measures rent50_2,"['uses as currency for rent50_2\tcurrency used by rent50_2', 'uses as currency for rent50_2\tcurrency used by rent50_2', 'uses currency\tcurrency is used by', 'official currency of\tuses as official currency', 'uses as currency\tfor rent50_2 is measured by', 'official currency of\tuses official currency', 'uses as currency\tfor rent50_2 is measured by', 'uses currency\tcurrency is used by']"
/government/legislative_session/members./government/government_position_held/district_represented,holds legislative session in district	district represented by legislative session member,holds legislative session in district	district represented by legislative session member,"['holds legislative session in district\tlegislative session member represents district', 'includes representatives from\thas representatives in legislative session', 'includes representatives from\thas representation in legislative session', 'includes congressional district as represented area\tcongressional district is included in represented area', 'represented in legislative session\tlegislative session member represents district', 'holds legislative session for district\tdistrict represented in legislative session', 'represents legislative district in session\tlegislative session member represents district', 'includes congressional district as represented area\tcongressional district is part of represented area in legislative session']"
/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,holds position in team	has team member in position,holds position in team	has team member in position,"['has position in roster\thas roster with position', 'has position in roster\tis position in roster of', 'employs player in position\tplays position for team', 'has position in team\thas team with position', 'has player in position\tplays position for team', 'has player in position\thas position filled by player', 'has players in the position\tposition played by team members', 'has player in position\tplays position for team']"
/people/person/gender,has gender	gender of,is of gender	gender belongs to,"['is of gender\thas as gender', 'is of gender\tgender belongs to', 'is of gender\tgender belongs to', 'is of gender\tgender belongs to']"
/people/deceased_person/place_of_death,place of death	died at,died in	was the death place of,"['died in\twas the place of death of', 'died in\twas the death place of', 'place of death\twas the death location of', 'founded in\thosted the founding of', 'died in\twas the death place of', 'died in\twas the death location of', 'died in\twas the death place of']"
/award/award_nominee/award_nominations./award/award_nomination/nominated_for,is nominated for	has nominee nominated for,is nominated for	has nominee nominated for,"['was nominated for\thas had nominees who were nominated for', 'was nominated for\thad nominee who was nominated for', 'nominated for\thas nominee who was nominated for', 'was a writer for\thad a writer who worked on', 'was nominated for\thas nominee who was nominated for', 'was nominated for\thad nominee nominated for', 'is nominated for\thas nominee nominated for', 'was nominated for\thas nominee who was nominated for']"
/sports/pro_athlete/teams./sports/sports_team_roster/team,plays for team	has team member,played for	had player,"['played for\thad player', 'current manager of\tmanaged by', 'plays for team\thas player', 'plays for team\thas player', 'current team member\thas current player', 'played for\thad player', 'played for\thad player']"
/music/artist/track_contributions./music/track_contribution/role,contributes to track in role	has contributor with role,contributes to track in role	has contributor with role,"['contributes to track in role\tis contributed by in role', 'plays musical instrument\tplayed by musician', 'contributed to tracks in the role of\tis contributed by in the role of', 'produces music using\tused in music production by', 'plays musical instrument\tplayed by musician', 'performs in role\thas performer with role', 'performs on track as\thas performer with role of', 'plays instrument\tplayed by musician']"
/music/instrument/instrumentalists,plays instrument	instrument played by,plays instrument	instrument played by,"['is used by musicians\tmusicians use', 'is used by musician\tmusician uses', 'plays keyboard instrument\tkeyboard instrument played by', 'performed with\tperformer of', 'plays keyboard instrument\tkeyboard instrument played by', 'composes music for\tmusic composed by', 'plays percussion instruments\tpercussion instruments played by', 'plays instrument\tinstrument played by']"
/base/popstra/celebrity/friendship./base/popstra/friendship/participant,is a participant in the friendship with	has a friendship participant,is friends with	is friends with,"['is friends with\thas a friend', 'is friends with\tis friends with', 'co-stars with\tis co-starred by', 'is friends with\tis friends with', 'is friends with\tis a friend of', 'is friends with\tis friends with']"
/business/job_title/people_with_this_title./business/employment_tenure/company,holds the job title at company	has employee with the job title,holds the job title at company	has employee with the job title,"['holds the position at\thas position held by', 'holds the position at\thas position held by', 'holds the position at\temploys the position of', 'holds the position at\temploys individuals with the position', 'holds the position of managing director at\thas managing director as employee', 'holds the position of\temploys the position of', 'holds the position of\temploys as a', 'holds the position at\thas employee holding the position']"
/people/cause_of_death/people,cause of death for	person who died from,cause of death for	person who died from,"['cause of death for\tperson who died from', 'died from\twas the cause of death for', 'cause of death\tfor person who died from', 'cause of death for\tperson who died from']"
/sports/sports_team/roster./baseball/baseball_roster_position/position,plays position on baseball team	has player in position,has player in position	plays position for team,"['has player in position\tplays position for team', 'has player in position\tplays position for team', 'has position in roster\tposition in roster of', 'has player in position\tplays position for baseball team', 'has player in position\tplays position for team']"
/business/business_operation/industry,operates in industry	has industry operator,operates in the industry	has operator in the industry,"['produces products in industry\thas producer in industry', 'operates in the industry\tis the industry operator of', 'operates in the industry\thas operator in the industry', 'produces products in industry\thas producer in industry', 'operates in industry\tis operated by in industry', 'operates in the industry\thas operator in the industry', 'operates in the industry\thas operator in the industry']"
/tv/tv_program/languages,program has language	inverse of language used in program,spoken in	language used in,"['language used in program\tinverse of program has language', 'program uses language\tinverse of language is used in program', 'uses language\tinverse of language used by', 'spoken in\tlanguage used in', 'spoken in\tlanguage used in', 'spoken in\tlanguage used in']"
/award/award_category/winners./award/award_honor/award_winner,award category winner	is awarded in category,award category winner	is awarded in category,"['award category winner\treceived award in category', 'awarded in category\twinner of award in category', 'awarded to\treceived award', 'awarded to\treceived award', 'award category winner\thas winner in category', 'award category includes winner\twinner is included in award category', 'award category winner\thas winner in category', 'awarded for\treceived award for']"
/people/person/nationality,has nationality	nationality of,is a citizen of	is the country of citizenship for,"['is a citizen of\tis the nationality of', 'is a citizen of\tis the country of citizenship for', 'is a citizen of\tcitizen of', 'is a citizen of\thas citizen', 'is a citizen of\tis the nationality of', 'is a citizen of\tcitizen by', 'is a citizen of\tis the country of citizenship for', 'is a citizen of\tis the country of citizenship for']"
/location/hud_county_place/place,is located in Hud County	contains Hud County place,is located in	contains,"['is located in\tcontains', 'is located in\tcontains', 'is located in\tcontains']"
/location/location/adjoin_s./location/adjoining_relationship/adjoins,adjoins	adjoined by,adjoins	adjoined by,"['adjoins\tadjoined by', 'adjoins\tadjoined by']"
/music/genre/parent_genre,is a parent genre of	has subgenre under,has subgenre under	is a parent genre of,"['has subgenre under\tis a parent genre of', 'derives from\thas influenced', 'is a subgenre of\thas parent genre', 'incorporates elements of\thas influenced the development of', 'derived from\thas derivative form', 'has subgenre under\tis a parent genre of', 'has subgenre under\tis a parent genre of']"
/base/popstra/celebrity/breakup./base/popstra/breakup/participant,participated in a breakup with	was a breakup participant of,participated in a breakup with	was a breakup participant of,"['was divorced from\twas divorced by', 'participated in a breakup with\thad a breakup with', 'broke up with\twas broken up with by', 'broke up with\twas broken up with', 'had a breakup with\thad a breakup with', 'participated in a breakup with\thad a breakup participant', 'participated in a breakup with\thad a breakup participant', 'broke up with\thad a breakup with']"
/location/country/capital,is the capital of	has capital,has capital	is the capital of,"['was the former capital of\twas formerly part of', 'has capital as\tcapital is located in', 'has capital\tis the capital of', 'has capital city\twas capital city of', 'was the capital of during Nazi rule\twas the Nazi capital of', 'has capital as\tis the capital of', 'has capital\tis the capital of', 'has capital\tis the capital of']"
/film/special_film_performance_type/film_performance_type./film/performance/film,is a type of film performance	has film performance type,is a type of film performance	has film performance type,"['provides playback singing for\tfeatures playback singing by', 'performs in film\thas performer in film', 'is performed by voice actors\tfeatures voice acting performances', 'is a type of performance in\tfeatures performance type of', 'is a type of performance in\tfeatures performances of type', 'provides playback singing for\tfeatures playback singers in', 'appears in film as a cameo\tfeatures cameo appearance', 'is a performance type for\thas performance type in']"
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,has currency unit	currency unit of,has currency unit	currency unit of,"['uses as currency\tused as currency by', 'has currency unit\tcurrency unit of', 'uses currency\tcurrency used by', 'uses currency\tcurrency used by', 'has currency unit\tcurrency unit of']"
/organization/role/leaders./organization/leadership/organization,leads the organization	organization led by,leads the organization	organization led by,"['head of the organization\torganization headed by', 'leads the organization\torganization led by', 'president of\thas president', 'leads the organization\torganization led by']"
/music/performance_role/guest_performances./music/recording_contribution/performance_role,guest performer in recordings	recordings featuring guest performers,guest performer in recordings	recordings featuring guest performers,"['performed as guest artist in\tfeatured guest artist in', 'performs as guest artist\tfeatures guest artist performances', 'performs as a guest in recordings\trecordings featuring guest performances', 'performs as guest in recordings\trecordings featuring guest performances', 'performs as guest artist in\tfeatures performances by guest artist', 'performs on recordings\trecordings featuring performances', 'performed as guest artist\tfeatured guest artist performances', 'performs as guest musician on\tfeatures guest musician performances by']"
/film/film_subject/films,films have subject	subject of films,films have subject	subject of films,"['films have subject\tsubject of films', 'is the subject of\thas subject', 'films have subject\tsubject in films', 'is parodied in\tparodies', 'features in films\tdepicts in films', 'is the subject of\tfilm features the subject', 'is an example of\texemplifies', 'is the subject of\tfilm features the subject']"
/education/educational_institution/colors,has school colors	has colors represented by school,has school colors	has colors represented by school,"['uses color in branding\tcolor is used by in branding', 'school colors include\tcolor represents school', 'has school colors\thas colors representing school', 'has colors represented by school\thas school colors represented by', 'has school colors\thas colors represented by educational institution', 'has school colors represented by\thas colors used by school', 'has colors represented by\trepresents colors of', 'uses green as a school color\tis a school color used by']"
/olympics/olympic_games/sports,participates in Olympic sports	hosts Olympic sports events,includes as an Olympic sport	is included as an Olympic sport in,"['includes as an Olympic sport\tis included as an Olympic sport in', 'includes as an Olympic sport\tfeatured in the Olympic Games', 'includes as an Olympic sport\tis included in the Olympic Games as a sport', 'includes as an Olympic sport\tis included as an Olympic sport in', 'includes as an Olympic sport\twas included in as an Olympic sport', 'includes as an Olympic sport\tis included as an Olympic sport in']"
/base/aareas/schema/administrative_area/administrative_parent,administrative parent of	has administrative parent,administrative parent of	has administrative parent,"['is a federal state of\thas federal state', 'is the capital of\thas capital city', 'is part of\tincludes', 'is a metropolitan borough of\tcontains the metropolitan borough', 'is an administrative division of\thas administrative division', 'is located on\tcontains the location of', 'capital of\thas capital', 'is the capital of\thas capital']"
/government/legislative_session/members./government/government_position_held/legislative_sessions,holds position in legislative session	has member holding government position,precedes in legislative sequence	follows in legislative sequence,"['succeeded by legislative session\tpreceded by legislative session', 'is succeeded by legislative session\tprecedes legislative session', 'precedes in legislative sequence\tfollows in legislative sequence', 'precedes in legislative sequence\tfollows in legislative sequence', 'succeeds in legislative sequence\tpreceded in legislative sequence', 'held government position in\thad member who held government position in', 'is succeeded by legislative session\tis preceded by legislative session', 'precedes in legislative sequence\tfollows in legislative sequence']"
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,professional sports team drafted from school	school had draft pick in professional sports team,professional sports team drafted from school	school had draft pick in professional sports team,"['professional sports team drafted from\tschool had draft pick in', 'professional sports team drafted from\tschool had draft pick in', 'professional sports team drafted players from\tschool had players drafted by professional sports team', 'professional sports team drafted players from\tschool produced draft picks for professional sports team', 'professional sports team drafted from school\tschool had draft pick in professional sports team', 'drafted players from\tsupplied draft picks to', 'professional sports team drafted from school\tschool had draft pick in professional sports team']"
/people/person/places_lived./people/place_lived/location,has lived in	has been lived in by,has lived in	has been lived in by,"['lives in\tis the residence of', 'lives in\tis the residence of', 'resides in\tis the residence of', 'lived in\thas been a residence of', 'was born in\tis the birthplace of', 'has lived in\thas been a residence of', 'has lived in\thas been a residence of', 'lived in\twas a residence of']"
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,won Olympic medals for country	country awarded Olympic medals to,won Olympic medals for	Olympic medals awarded to,"['won Olympic medals for\twas awarded Olympic medals by', 'won Olympic medals for\treceived Olympic medals from', 'won Olympic medals for\twas awarded Olympic medals by', 'won Olympic medals for\tOlympic medals awarded to', 'won Olympic medals for\tOlympic medals awarded to', 'won Olympic medals at\thosted Olympic medal-winning athletes from', 'won Olympic medals for\tOlympic medals awarded to']"
/award/award_category/disciplines_or_subjects,has discipline or subject in award category	discipline or subject of award category,has discipline or subject in award category	discipline or subject of award category,"['recognizes achievements in\trecognized by', 'recognizes works in the category of\taward category for works in', 'recognizes works in the category of\taward category for recognized works', 'recognizes excellence in the field of\tfield recognized for excellence by', 'recognizes outstanding works in\tcan be recognized by', 'recognizes excellence in the field of\tis recognized by the award category for', 'recognizes achievement in\trecognized by award for', 'recognizes achievements in\trecognized by award category for']"
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,won medal in Olympics	medal was won by in Olympics,won medal in	medal was won by,"['won medal in\tmedal was won by', 'won bronze medal in Olympics\tbronze medal was won by in Olympics', 'won silver medal in Olympics\tsilver medal was won by in Olympics', 'won medal in\tmedal was won by', 'won medal in\tmedal was won by']"
/language/human_language/countries_spoken_in,is spoken in	has speaking country,is spoken in	has speaking country,"['is an official language in\thas official language', 'is spoken in\thas official language', 'has official language in\tis an official language of', 'is an official language of\thas official language', 'is spoken in\thas speakers in', 'has co-official language status in\thas country with co-official language status', 'is an official language of\thas official language', 'is spoken in\thas official language']"
/people/ethnicity/people,has ethnicity	ethnic group includes,has ethnicity	ethnic group includes,"['is an ethnic group of\tis a member of the ethnic group', 'belongs to ethnic group\tincludes member of ethnic group', 'belongs to ethnic group\tincluded in ethnic group', 'belongs to ethnic group\tincluded in ethnic group', 'is of ethnic origin\tincludes people of ethnic origin', 'is of ethnic descent\tincludes ethnic members', 'is of ethnic descent\tethnic descent includes', 'has ethnic origin\tethnic group includes']"
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,athlete represents country in Olympics	country is represented by athlete in Olympics,athlete represents country in Olympics	country is represented by athlete in Olympics,"['participates in Olympics as a nation\tnation hosts Olympic participants', 'athletes participate in Olympics representing their country\tOlympics feature athletes representing their country', 'athlete participates in Olympics for country\tOlympics includes athlete from country', 'participates in Olympics as a competing nation\thosts athletes from participating nation in Olympics', 'athlete participates in Olympics representing country\tOlympics includes athlete representing country', 'participates in Olympics as a competing nation\tis a host nation for Olympic participants', 'athletes participate in Olympics representing country\tOlympics include athletes representing country', 'athletes represent country in Olympics\tcountry is represented by athletes in Olympics']"
/base/locations/continents/countries_within,is located within	contains the country,contains the country	is located within,"['contains the country\tis located within', 'contains the country\tis located within', 'contains the country\tis located within']"
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,school of draft pick in sports league	draft pick in sports league attended school,draft pick attended school	school had draft pick,"['draft pick attended school\tschool had draft pick', 'draft pick attended school\tschool had draft pick', 'draft pick attended school\tschool had draft pick']"
/film/film/other_crew./film/film_crew_gig/crewmember,is a crewmember in the film	has as a crewmember in the film,is a crewmember in the film	has as a crewmember in the film,"['is a crewmember of\thas as a crewmember', 'was crewed by\tcrewed', 'was the sound mixer for\thad as the sound mixer', 'worked on the film as crew\temployed as crew for the film', 'worked on the sound design for\thad sound design work done by', 'worked on the visual effects for\thad visual effects supervised by', 'worked on the film as a crewmember\thad as a crewmember for the film', 'was crewmember of\thad as crewmember']"
/music/performance_role/track_performances./music/track_contribution/role,performs the role of in track	has the performer with the role of in track,performs the role of in track	has the performer with the role of in track,"['performs in the role of for tracks\tis performed by in the role of for tracks', 'performs the role of in track\thas performer with the role of in track', 'performs the role in track\thas performer with the role in track', 'performs in track as\thas performer in track as', 'performs in track as\thas performer in track as', 'performs the role in track\tis performed by with the role in track', 'performs in the same track as\tis performed in the same track by', 'provides rhythmic accompaniment for\tis rhythmically accompanied by']"
/education/educational_institution_campus/educational_institution,has campus as educational institution	is educational institution of campus,has campus as educational institution	is educational institution of campus,"['has campus as educational institution\tis educational institution of campus', 'is campus of educational institution\tis educational institution for campus', 'has campus as educational institution\tis educational institution of campus']"
/base/popstra/celebrity/dated./base/popstra/dated/participant,dated participant	is dated by,dated	was dated by,"['dated by\twas in a relationship with', 'dated\twas dated by', 'co-starred with\twas co-starred by', 'dated\twas dated by', 'dated\twas dated by']"
/sports/sports_team/sport,plays sport	for sport played by team,plays sport	is sport played by,"['plays sport\tis sport played by', 'plays sport\tsport played by', 'plays sport\tis the sport played by', 'plays sport\tis sport played by', 'plays sport\tis sport played by']"
/film/film/production_companies,produced by	produces,produced by	produces,"['produced by\tproduces', 'produced by\tproduces']"
